Symbol,Name,BuiltOn
GZE,GazeCoin (GZE),
XETH,Xplosive Ethereum (XETH),
NOK,Nokia (NOK),
BCAP,Blockchain Capital (BCAP),
XAP,Apollon (XAP),
EURS,STASIS EURS (EURS),ETH
ETHDOOM,10X Short Ethereum Token (ETHDOOM),ETH
MPL,Maple (MPL),ETH
RAINBOW,Rainbow Token (RAINBOW),BNB
TENT,TENT (TENT),
EMV,Ethereum Movie Venture (EMV),
GTX,GALLACTIC (GTX),
BCHBEAR,3X Short Bitcoin Cash Token (BCHBEAR),ETH
ETHHEDGE,1X Short Ethereum Token (ETHHEDGE),
FROGE,Froge Finance (FROGE),ETH
MTT,MulTra (MTT),
ITF,Intelligent Trading (ITF),
XR,Gofind XR (XR),
YFFC,yffc.finance (YFFC),
XRPHEDGE,1X Short XRP Token (XRPHEDGE),
SAFEBTC,SafeBTC (SAFEBTC),BNB
VR,Victoria (VR),
ZBC,Zilbercoin (ZBC),
CSQ,cosquare (CSQ),
SON,Simone (SON),
DOGZ,Dogz (DOGZ),
W.CUR,Wayfair Cl A (W.CUR),
SINX,SINX Token (SINX),
VARC,VARC (VARC),
LAYER,UniLayer (LAYER),ETH
BON,Bonpay (BON),ETH
BLV,Blockvest (BLV),
FYP,FlypMe (FYP),ETH
EVCC,Eco Value Coin (EVCC),
BTW,BitWhite (BTW),
BITNEW,BitNewChain (BITNEW),
SHACOIN,Shacoin (SHACOIN),
LATX,Latium (LATX),ETH
CAKEMOON,CakeMoon (CAKEMOON),BNB
BWK,Bulwark (BWK),
PPOVR,POVR (PPOVR),
FFUEL,getFIFO (FFUEL),
BEP,Blucon (BEP),ETH
HTHALF,0.5X Long Huobi Token Token (HTHALF),
MDCL,Medicalchain (MDCL),ETH
ALT,ALTcoin (ALT),
BALBULL,3X Long Balancer Token (BALBULL),
WHEEL,Wheelers (WHEEL),ETH
MGUL,Mogul Coin (MGUL),
RNS,RenosCoin (RNS),
ONG,SoMee.Social (ONG),
CREDIT,TerraCredit (CREDIT),
AAPL.CUR,Apple Inc (AAPL.CUR),
XAS,Asch (XAS),
BPX,BlitzPredict (BPX),
IDAP,IDAP (IDAP),
ORET,ORET Token (ORET),
CGT,CACHE Gold (CGT),ETH
TITAN,TitanSwap (TITAN),ETH
B3,B3 Coin (B3),
