Symbol,Name,BuiltOn
LUNE,Luneko (LUNE),BNB
CLEVERCOIN,CleverCoin (CLEVERCOIN),
NEVA,NevaCoin (NEVA),
MNVM,Novam (MNVM),
PLNX,Planumex (PLNX),
DTC,Data Transaction (DTC),
TANK,ThinkTank (TANK),
WBIND,Wrapped BIND (WBIND),
VSYS,V Systems (VSYS),
PHORE,Phore (PHORE),
OMEGA,OMEGA (OMEGA),
AMDC,Allmedi Coin (AMDC),
KYL,Kylin Network (KYL),ETH
STEPH,Step Hero (STEPH),BNB
KICKS,SESSIA (KICKS),ETH
MTZ,Monetizr (MTZ),
DAB,DABANKING (DAB),
ONEX,ONE TECH (ONEX),
FORK,Gastro Advisor Token (FORK),
MZG,Moozicore (MZG),
BST,Beshare Token (BST),ETH
BITCNY,bitCNY (BITCNY),
ODC,Overseas Direct Certification (ODC),
MKR,Maker (MKR),ETH
MOJO,Mojocoin (MOJO),
WSH,Wish Finance (WSH),
USDF,FolgoryUSD (USDF),
SHO,Showcase Token (SHO),ETH
NLC,NoLimitCoin (NLC),
KOLION,Kolion (KOLION),
SCB,Space Cow Boy (SCB),BNB
VAI,Vai (VAI),
OCN,Odyssey (OCN),ETH
LTBC,LTBCoin (LTBC),
AENT,AEN (AENT),
IP.CUR,International Paper (IP.CUR),
BOX,ContentBox (BOX),ETH
MINE,Instamine Nuggets (MINE),
NUBIS,NubisCoin (NUBIS),
CHARS,CHARS (CHARS),
SOSNOVKINO,Sosnovkino (SOSNOVKINO),
TXP,Trade Pharma Network (TXP),
GS,Genesis Shards (GS),ETH
NUT,Native Utility Token (NUT),
KSTT.BITCI,Kocaelispor Fan Token (KSTT.BITCI),BITCI
pBTC35A,pBTC35A (pBTC35A),
SETH2,sETH2 (SETH2),ETH
MYC,MayaCoin (MYC),
XCASH,X-CASH (XCASH),
FXS,Frax Share (FXS),ETH
1-UP,1-UP (1-UP),ETH
VIG,TheVig (VIG),
GASG,Gasgains (GASG),ETH
STKATOM,pSTAKE Staked ATOM (STKATOM),ETH
BECH,Beauty Chain (BECH),
SERV,Serve (SERV),
BIRD,Birdchain (BIRD),
HQT,HyperQuant (HQT),
VOLLAR,Vollar (VOLLAR),
MUSE,Muse (MUSE),ETH
XYM,Symbol (XYM),
RZR,RazorCoin (RZR),
BNBDOOM,10X Short BNB Token (BNBDOOM),ETH
WOLF,Insanity Coin (WOLF),
XJO,JouleCoin (XJO),
MMO,MMOCoin (MMO),
BSAFE,BlockSafe (BSAFE),
D4RK,DarkPayCoin (D4RK),
COMPBEAR,3X Short Compound Token Token (COMPBEAR),
RENC,RENC (RENC),
FFM,Files.fm Library (FFM),
KCH,Keep Calm and Hodl (KCH),ETH
TOKEN,Chainswap (TOKEN),ETH
GEMZ,Gemz Social (GEMZ),
ARK,ARK (ARK),
DRXNE,Droxne (DRXNE),
MOBU,MOBU (MOBU),
HYGH,HYGH (HYGH),
GOF,Golff (GOF),ETH
PROTON,Proton (PROTON),
XTP,Tap (XTP),ETH
POLC,Polka City (POLC),ETH
RAZOR,Razor Network (RAZOR),
KDOGE,KingDoge (KDOGE),BNB
LZ,LaunchZone (LZ),BNB
GAM,Gambit coin (GAM),
TAN,Taklimakan (TAN),
USDJ,USDJ (USDJ),TRX
ALOHA,Aloha (ALOHA),ETH
DAOB,DAOBet (DAOB),
CNNS,CNNS (CNNS),ETH
TMC,TimesCoin (TMC),
LAX,LAPO (LAX),
MUST,MUST Protocol (MUST),
RWN,Rowan Token (RWN),
BFIC,Bficoin (BFIC),BNB
SPC,SpaceChain ERC20 (SPC),ETH
HBX,Hyperbridge (HBX),
DEFIHEDGE,1X Short DeFi Index Token (DEFIHEDGE),
USO,United States Oil Fund (USO),
HANU,Hanu Yokia (HANU),ETH
MOONARCH,Moonarch (MOONARCH),BNB
BEL,Bella Protocol (BEL),ETH
BRIT,BritCoin (BRIT),
TRXHALF,0.5X Long TRX Token (TRXHALF),
ERN,Ethernity Chain (ERN),ETH
HOGE,Hoge Finance (HOGE),ETH
COMP,Compound Governance Token (COMP),ETH
ELTC2,eLTC (ELTC2),
BEE,Bee Token (BEE),
TKG,Takamaka Green Coin (TKG),
NTK,Neurotoken (NTK),
PLOT,PlotX (PLOT),
RFUEL,Rio DeFi (RFUEL),ETH
PHI,PHI Token (PHI),
NBOX,Unboxed (NBOX),
SKP,Skelpy (SKP),
LKU,Lukiu (LKU),
SPACECOIN,SpaceCoin (SPACECOIN),
BTCV,Bitcoin Vault (BTCV),
LHC,LHCoin (LHC),
ZCR,ZCore (ZCR),
HOOD,Robinhood pre-IPO contract (HOOD),
MINRL,Minerals Coin (MINRL),
BTK,Bostoken (BTK),
MFI,Marginswap (MFI),ETH
CUSDTBULL,3X Long Compound USDT Token (CUSDTBULL),
WRC,Worldcore (WRC),
YPTO,YPTOspace (YPTO),
QCH,QChi (QCH),
SPADE,PolygonFarm Finance (SPADE),MATIC
BEAT,BEAT Token (BEAT),
SILKR,SilkRoadCoin (SILKR),
TXA,TXA (TXA),ETH
XMS,Megastake (XMS),
BIO,Biocoin (BIO),
XPAT,Bitnation Pangea (XPAT),
ADT,AdToken (ADT),
YFIDOWN,YFIDOWN (YFIDOWN),
MMC,MemoryCoin (MMC),
XBASE,ETERBASE (XBASE),
RHP,Rhypton Club (RHP),
XFTC,Offshift (XFTC),
IAG,IAGON (IAG),
BTU,BTU Protocol (BTU),
IOTX,IoTeX Network (IOTX),
BSTN,BitStation (BSTN),
RAI,Rai Reflex Index (RAI),ETH
RDPX,Dopex Rebate Token (RDPX),ETH
ICX,ICON Project (ICX),
MRT,MinersReward (MRT),
CVTC,CavatCoin (CVTC),
MXT,MixTrust (MXT),
PYRK,Pyrk (PYRK),
WIKI,Wiki Token (WIKI),
BBK,BitBlocks (BBK),
PODIUM,Smart League (PODIUM),
SAFE,SafeCoin (SAFE),
SRV,ServAdvisor (SRV),
TEVA.CUR,Teva Pharma Ind Adr Rep 1 (TEVA.CUR),
GEODB,GeoDB (GEODB),
FINOM,Finom FIN Token (FINOM),
AGN.CUR,Allergan (AGN.CUR),
BSVHALF,0.5X Long Bitcoin SV Token (BSVHALF),
PART,Particl (PART),
ODMC,ODMCoin (ODMC),
XFT,Fantasy Cash (XFT),
YFIII,Dify.Finance (YFIII),ETH
THUNDER,ThunderStake (THUNDER),
LBA,Cred (LBA),ETH
CXG,Coinxes (CXG),
BITW,Bitwise 10 Crypto Index Fund (BITW),
CETH,Compound Ethereum (CETH),ETH
ETL.CUR,Eutelsat Communications (ETL.CUR),
8PAY,8Pay (8PAY),ETH
ROOM,OptionRoom (ROOM),BNB
TRV,TrustVerse (TRV),ETH
WEX,Wexcoin (WEX),
PBET,PBET (PBET),
BNTX.CUR,Biontech SE (BNTX.CUR),
HSS,Hashshare (HSS),
EMD,Emerald (EMD),
NBL,Nybble (NBL),
TELL,Tellurion (TELL),
SWM,Swarm Fund (SWM),
ETHIX,EthicHub (ETHIX),
MOGU,Mogu (MOGU),
FR,Freedom Reserve (FR),ETH
PFT,Pitch Finance Token (PFT),bnb
WLME,Wellmee (WLME),
FNL,Finlocale (FNL),
WDC,WorldCoin (WDC),
BSV,Bitcoin SV (BSV),
KST,StarKST (KST),
BANKETH,BankEth (BANKETH),ETH
IBG,iBG Token (IBG),BNB
NIX,NIX (NIX),
TLU,Irene Energy (TLU),
BNBBEAR,3X Short BNB Token (BNBBEAR),ETH
TOMOE,TomoChain ERC20 (TOMOE),
REP,Augur (REP),ETH
LHA.CUR,Deutsche Lufthansa AG (LHA.CUR),
XAMP,Antiample (XAMP),
PRVS,Previse (PRVS),ETH
SOUND,Sound Coin (SOUND),BNB
NEFTIPEDIA,NEFTiPEDiA (NEFTIPEDIA),
ICASH,ICASH (ICASH),
CRDS,Credits (CRDS),
SCRM,Scorum (SCRM),
TCOIN,Talenthon (TCOIN),
LBR,LaborCrypto (LBR),
XAUTHALF,0.5X Long Tether Gold Token (XAUTHALF),
HBN,HoboNickels (HBN),
JIB,Jibbit (JIB),
XEC.CUR,Cimarex Energy (XEC.CUR),
BALBULL,3X Long Balancer Token (BALBULL),
RVN,Ravencoin (RVN),
XCPO,Copico (XCPO),
ELT,Electron (ELT),
GXT,Gem Exchange And Trading (GXT),
MATICHALF,0.5X Long Matic Token (MATICHALF),
BMP,Brother Music Platform (BMP),
XMV,MoneroV (XMV),
WDX,WeiDex (WDX),
QRP,Cryptics (QRP),
PSF,Prime Shipping Foundation (PSF),
XCB,Crypto Birds (XCB),
CRD,CRD Network (CRD),ETH
BETACOIN,BetaCoin (BETACOIN),
IDH,IndaHash (IDH),
DG.CUR,Dollar General (DG.CUR),
UTOPIA,Crypton (UTOPIA),
YAMV1,YAM v1 (YAMV1),ETH
TOWER,Tower (TOWER),ETH
EQO,EQO (EQO),ETH
THNX,ThankYou (THNX),
GOOD,Goodomy (GOOD),
XAT,ShareAt (XAT),
YAMV2,YAM v2 (YAMV2),ETH
FOGE,Fat Doge (FOGE),ETH
ENU,Enumivo (ENU),
UBQ,Ubiq (UBQ),
TUR,Turron (TUR),
BETR,BetterBetting (BETR),
VICEX,ViceToken (VICEX),ETH
ATFS,ATFS Project (ATFS),
TKC,TurkeyChain (TKC),
