Symbol,Name,BuiltOn
PRINT,Printer.Finance (PRINT),
CHY,Concern Poverty Chain (CHY),ETH
BABY,BabySwap (BABY),BNB
LINK,Chainlink (LINK),ETH
CAIX,CAIx (CAIx),
DTN,Datareum (DTN),
DEFI,Defi (DEFI),
K.CUR,Kellogg (K.CUR),
STARC,StarChain (STARC),
GENIX,Genix (GENIX),
XNG,Enigma (XNG),
SAR,Saren (SAR),ETH
JUV,Juventus Fan Token (JUV),
SHIBMERICAN,Shibmerican (SHIBMERICAN),ETH
SND,Sandcoin (SND),
ZOE,Zoe Cash (ZOE),TRX
XIOT,Xiotri (XIOT),
TRXDICE,TRONdice (TRXDICE),
CAPP,Cappasity (CAPP),ETH
RAINC,RainCheck (RAINC),
GPU,GPU Coin (GPU),
SKYFT,SKYFchain (SKYFT),
PINMO,Pinmo (PINMO),
DNET,DeNet (DNET),
CUEX,Cuex (CUEX),BNB
IRT,Infinity Rocket (IRT),BNB
HXRO,Hxro (HXRO),ETH
ORI,Origami (ORI),
PAVO,Pavocoin (PAVO),
ZTN,Zetanet (ZTN),
RYZ,Anryze (RYZ),
STG,STAYGE (STG),
BONK,BONK Token (BONK),ETH
WPP,Green Energy Token (WPP),ETH
FAB,FABRK Token (FAB),
BYN,Beyond Finance (BYN),ETH
AIB,AdvancedInternetBlock (AIB),
MTXLT,Tixl (MTXLT),
TLO,Talleo (TLO),
XMON,XMON (XMON),ETH
CYBR,CYBR (CYBR),
COY,Coin Analyst (COY),
BLOODY,Bloody Token (BLOODY),
SIDT,SID Token (SIDT),
CYRS,Cyrus Token (CYRS),
CSQ,cosquare (CSQ),
BTMXHALF,0.5X Long BitMax Token Token (BTMXHALF),
NIM,Nimiq (NIM),
Q1S,Quantum1Net (Q1S),
BMG,Borneo (BMG),
XPD,PetroDollar (XPD),
SMG.CUR,The Scotts Miracle-Gro Company (SMG.CUR),
XPR,Proton (XPR),ETH
FLOAT,Float Protocol (FLOAT),ETH
BITCNY,bitCNY (BITCNY),
UR,UR (UR),
LTA,Litra (LTA),
TPAY,TokenPay (TPAY),
ERIS,Eristica (ERIS),
PESA,Credible (PESA),
DIO,Decimated (DIO),
PGU,Polyient Games Unity (PGU),ETH
CSEN,Consensus (CSEN),
VOO.CUR,Vanguard S&P 500 ETF (VOO.CUR),
TRS,TORUS Token (TRS),
GANA,GANA (GANA),
METH,Farming Bad (METH),ETH
VIOR,ViorCoin (VIOR),
SIC,Swisscoin (SIC),
UTL,Utile Network (UTL),
DUC,DucatusCoin (DUC),
MOONDAY,Moonday Finance (MOONDAY),
SAN,Santiment (SAN),ETH
MEX,MEX (MEX),ETH
GP,GoldPieces (GP),
SMNX,SMNX (SMNX),
EFX,The Effect.ai (EFX),
SIGN,SignatureChain (SIGN),WAVES
DPR,Deeper Network (DPR),ETH
KRN,KRYZA Network (KRN),BNB
CTL,Citadel (CTL),
LIZ,Lizus Payment (LIZ),
ONOT,ONO (ONOT),
FOGE,Fat Doge (FOGE),ETH
VMC,VirtualMining Coin (VMC),
SNPC,SnapCoin (SNPC),
AAPX,AMPnet (AAPX),ETH
VOYA,Voyacoin (VOYA),
BEAM,Beam (BEAM),
VRM,Verium (VRM),
DXG,DexAge (DXG),
DOGZ,Dogz (DOGZ),
CFL365,CFL365 Finance (CFL365),ETH
HOGE,Hoge Finance (HOGE),ETH
SGB,Songbird (SGB),
TFX.CUR,Teleflex (TFX.CUR),
SLP,Smooth Love Potion (SLP),ETH
SAFES,SafeSwap (SAFES),BNB
TUR,Turron (TUR),
PINKX,PantherCoin (PINKX),
XPL,Exclusive Platform (XPL),
KAI,KardiaChain (KAI),ETH
PIX,Lampix (PIX),
ASGC,ASG (ASGC),
CPB.CUR,Campbell Soup (CPB.CUR),
MN,Cryptsy Mining Contract (MN),
ADABEAR,3X Short Cardano Token (ADABEAR),ETH
BMRN.CUR,BioMarin Pharmaceutical Inc (BMRN.CUR),
8BT,8 Circuit Studios (8BT),
CNX,Cryptonex (CNX),
ATS,Authorship (ATS),
ETHPAD,ETHPad (ETHPAD),ETH
AITECH,Artificial Intelligence Utility Token (AITECH),
