Symbol,Name,BuiltOn
522.CUR,ASM Pacific Technology Limited (522.CUR),
LAS,LNAsolution Coin (LAS),ETH
UFO,UFO Coin (UFO),
RBX,RiptoBuX (RBX),
CKB,Nervos Network (CKB),
ZP,Zen Protocol (ZP),
EBIT,eBit (EBIT),
SCAP,SafeCapital (SCAP),
IBVOL,1x Short BTC Implied Volatility Token (IBVOL),ETH
BBADGER,Badger Sett Badger (BBADGER),BNB
BTMK,BitMark (BTMK),
FO,FIBOS (FO),
HGOLD,HollyGold (HGOLD),ETH
KCS,KuCoin Token (KCS),ETH
ILT,iOlite (ILT),
VNS,Venus (VNS),
UNII,UNII Finance (UNII),
RAZOR,Razor Network (RAZOR),
OPSC,OpenSourceCoin (OPSC),
CHK,Chek (CHK),
HSS,Hashshare (HSS),
FLURRY,Flurry Finance (FLURRY),ETH
POLK,Polkamarkets (POLK),ETH
SWM,Swarm Fund (SWM),
UETL,Useless Eth Token Lite (UETL),
UT,Ulord (UT),
USCC,USC (USCC),
AIDT,AIDUS TOKEN (AIDT),
KLP,Kulupu (KLP),
ATOMHEDGE,1X Short Cosmos Token (ATOMHEDGE),
CONS,ConSpiracy Coin (CONS),
IRON,Iron BSC (IRON),BNB
MLT,MultiGames (MLT),
VIAZ,Viaz (VIAZ),
BALBULL,3X Long Balancer Token (BALBULL),
SWFL,Swapfolio (SWFL),
SXPUP,SXPUP (SXPUP),
SKU,Sakura (SKU),
SETI,Sapien Wallet (SETI),
ORGA,Organicco (ORGA),
LEU,CryptoLEU (LEU),
MB8,MB8 Coin (MB8),
AME,Amepay (AME),ETH
DPET,My DeFi Pet (DPET),BNB
AVT,Aventus (AVT),ETH
ENE,EneCoin (ENE),
SOAR,Soarcoin (SOAR),
VOCO,Provoco (VOCO),
GRMN.CUR,Garmin Ltd. (GRMN.CUR),
ALTHEDGE,1X Short Altcoin Index Token (ALTHEDGE),
DAM,Datamine (DAM),ETH
DIGG,DIGG (DIGG),ETH
PAYP,PayPeer (PAYP),
MRSA,MrsaCoin (MRSA),
AMBER,AmberCoin (AMBER),
HVN,Hiveterminal Token (HVN),
BT1,Bitfinex Bitcoin Future (BT1),
SUT,Suapp (SUT),
FCL,Fractal (FCL),
XCRE,Creatio (XCRE),
HYS,Heiss Shares (HYS),
QAC,Quasarcoin (QAC),
DMT,DMarket (DMT),ETH
DLR,DollarOnline (DLR),
DEAL,iDealCash (DEAL),
WGP,W Green Pay (WGP),
MONARCH,TRUEMONARCH (MONARCH),
EQX,EQIFi (EQX),ETH
THS,TechShares (THS),
MEDIC,MedicCoin (MEDIC),
JCT,Japan Content Token (JCT),
BFIC,Bficoin (BFIC),BNB
