Symbol,Name,BuiltOn
SYNCO,Synco (SYNCO),
XGN,Golden Currency (XGN),
TXL,Tixl (TXL),ETH
CARE,Carebit (CARE),
FMEX,FMex (FMEX),
GOLDX,eToro Gold (GOLDX),
MGM.CUR,MGM Resorts International (MGM.CUR),
BTTR,BitTiger (BTTR),
VOOT,VootCoin (VOOT),
ITM,intimate.io (ITM),
HERO,Metahero (HERO),BNB
JUP,Jupiter (JUP),
REN,REN (REN),ETH
XLB,LibertyCoin (XLB),
ELIX,Elixir (ELIX),
SGP,SGPay (SGP),
ENC,Encores Token (ENC),
TIME,Chrono.tech (TIME),
LWF,Local World Forwarders (LWF),
UCH,UChain (UCH),
IGCH,IG-Crypto Holding (IGCH),
PLAYC,PlayChip (PLAYC),
AXS,Axie Infinity Shards (AXS),ETH
PROC,ProCurrency (PROC),
HYS,Heiss Shares (HYS),
SGDX,eToro Singapore Dollar (SGDX),
CHECOIN,CheCoin (CHECOIN),BNB
UBEX,Ubex (UBEX),ETH
OOT,Utrum (OOT),
HET,HavEther (HET),
LKN,LinkCoin Token (LKN),
DRZ,Droidz (DRZ),
ZAT,ZatGo (ZAT),
CHOW,Chow Chow Finance (CHOW),ETH
CASHT,Cash Tech (CASHT),
XWC,WhiteCoin (XWC),
ACP,Anarchists Prime (ACP),
CBRT,Cybereits Token (CBRT),
EWT,Energy Web Token (EWT),
NEAR,Near (NEAR),
ONL,On.Live (ONL),
1GOLD,1irstGold (1GOLD),
CHLT,Chellitcoin (CHLT),ETH
SHIFT,Shift (SHIFT),
THNX,ThankYou (THNX),
PUSD,PegsUSD (PUSD),ETH
COGE,Cogecoin (COGE),ETH
NAUSICAA,Nausicaa-Inu (NAUSICAA),ETH
DGDC,DarkGold (DGDC),
SOON,SoonCoin (SOON),
XES,Proxeus (XES),
ALXN.CUR,"Alexion Pharmaceuticals, Inc. (ALXN.CUR)",
URO,UroCoin (URO),
REF,RefToken (REF),
YFIS,YFISCURITY (YFIS),
BCHA,Bitcoin Cash ABC (BCHA),
ARDX,ArdCoin (ARDX),
DSCVR,DSCVR.Finance (DSCVR),ETH
DEFIBULL,3X Long DeFi Index Token (DEFIBULL),
QBC,Quebecoin (QBC),
JEW,Shekel (JEW),
BASHC,BashCoin (BASHC),
MIODIO,MIODIOCOIN (MIODIO),
HTBEAR,3X Short Huobi Token Token (HTBEAR),
TOK,Tokenplace (TOK),ETH
MAZC,MyMazzu (MAZC),
NIN,Next Innovation (NIN),
ICE,Popsicle Finance (ICE),"ETH,BNB,FTM"
CONS,ConSpiracy Coin (CONS),
USO,United States Oil Fund (USO),
KTK,KryptCoin (KTK),
GIOT,Giotto Coin (GIOT),
EMRX,Emirex Token (EMRX),ETH
BZKY,Bizkey (BZKY),
RES,Resistance (RES),
OM,MANTRA DAO (OM),ETH
SPS,Splinterlands (SPS),BNB
SHILL,SHILL Token (SHILL),BNB
IMS,Independent Money System (IMS),
MMTM,Momentum (MMTM),
VBT,VB Token (VBT),
BTCK,Bitcoin Turbo Koin (BTCK),
HI,hi Dollar (HI),ETH
AIX,Aigang (AIX),
DTX,DataBroker DAO (DTX),
BIZZ,BIZZCOIN (BIZZ),ETH
INFINI,Infinity Economics (INFINI),
XMY,MyriadCoin (XMY),
DRE,DoRen (DRE),ETH
BEAST,CryptoBeast (BEAST),BNB
HERB,HerbCoin (HERB),
ONAM,ONAM (ONAM),
TOX,Toxic (TOX),
ZABAKU,Zabaku Inu (ZABAKU),BNB
ONE,Harmony (ONE),
ALG,Algory (ALG),ETH
EREAL,eREAL (EREAL),
PRPS,Purpose (PRPS),
MOLK,Mobilink Token (MOLK),
RELVT,Relevant (RELVT),
ANK,AlphaLink (ANK),
TUR,Turron (TUR),
DGLD,Digital Gold (DGLD),
NEE.CUR,Nextera Energy (NEE.CUR),
ETH2X-FLI,ETH 2x Flexible Leverage Index (ETH2X-FLI),ETH
OKBHALF,0.5X Long OKB Token (OKBHALF),
WIB,Wibson (WIB),
OH,Oh! Finance (OH),AVAX
FSC,FriendshipCoin (FSC),
ATCC,ATC Coin (ATCC),
CJR,Conjure (CJR),
GARK,Game Ark (GARK),
ATT,Attila (ATT),
UBQ,Ubiq (UBQ),
HUC,HunterCoin (HUC),
OK,OKCash (OK),
NOAH,NOAHCOIN (NOAH),
ETHUP,ETHUP (ETHUP),
PODIUM,Smart League (PODIUM),
XTZHEDGE,1X Short Tezos Token (XTZHEDGE),
IOI,IOI Token (IOI),ETH
XCN,Cryptonite (XCN),
CZC,Crazy Coin (CZC),
CWV,CryptoWave (CWV),
MIN,MINDOL (MIN),
ZPAE,ZelaaPayAE (ZPAE),
PRIX,Privatix (PRIX),
NEWS,NewsTokens (NEWS),ETH
CYC,Cyclone Protocol (CYC),
TINKU,TinkuCoin (TINKU),ETH
ASTO,Aston (ASTO),
GENIX,Genix (GENIX),
PETN,Pylon Eco Token (PETN),BNB
